"SESYUMK_PLUGIN";"People You May Know Plugin"

"View Sent Requests";"View Sent Requests"
"See All Friend Request";"See All Friend Request"
"Accept Request";"Accept Request"
"Ignore request";"Ignore request"
"View More";"View More"
"There are no New Requests.";"There are no New Requests."
"View Received Requests";"View Received Requests"
" Mutual Friends";" Mutual Friends"
" Friends";" Friends"
"Cancel Friend Requests";"Cancel Friend Requests"
"There are no sent requests.";"There are no sent requests."
"Please enter valid email address.";"Please enter valid email address."
"Invitations Sent.";"Invitations Sent."
"People You May Know";"People You May Know"
"See All &raquo;";"See All &raquo;"
"Remove";"Remove"
"Add Friend";"Add Friend"
"There are no more members.";"There are no more members."
"There are no friend suggestions.";"There are no friend suggestions."