"Your coupon has been added successfully.";"Your coupon has been added successfully."
"Your coupon has been edit successfully.";"Your coupon has been edit successfully."
"Coupon Code";"Coupon Code"
"If your coupon requires a coupon code for redemption, then please add it here. (Note: Coupon code should be in between 4 and 16 characters in length and can contain alphabets, numbers, or a combination of both. Special characters other than hyphen (-) are not allowed.)";"If your coupon requires a coupon code for redemption, then please add it here. (Note: Coupon code should be in between 4 and 16 characters in length and can contain alphabets, numbers, or a combination of both. Special characters other than hyphen (-) are not allowed.)"
"Please enter valid coupon code.";"Please enter valid coupon code."
"Coupon Code:";"Coupon Code:"
"Claims left";"Claims left"
"Claim left";"Claim left"
"End date: Never Expires";"End date: Never Expires"
"To make this coupon more relevant for users and to mention its terms and conditions, enter its description. Terms and conditions can contain information such as coupon code used by staff at the store etc.";"To make this coupon more relevant for users and to mention its terms and conditions, enter its description. Terms and conditions can contain information such as coupon code used by staff at the Showroom etc."
"Enter your coupon's details below, click 'Preview' to view your coupon.";"Enter your coupon's details below, click 'Preview' to view your coupon."
"When will this coupon end?";"When will this coupon end?"
"Coupon Picture";"Coupon Picture"
"%s store found.";"%s Showroom found.";"%s Showrooms found."
"Stores With coupons";"Showrooms With coupons"
"Enter the maximum number of times this coupon can be claimed by members. (Enter 0 for unlimited. Note: You will not be able to edit claims once this coupon expires.)";"Enter the maximum number of times this coupon can be claimed by members. (Enter 0 for unlimited. Note: You will not be able to edit claims once this coupon expires.)"
"Add a New Coupon";"Add a New Coupon"
"Enter your coupon's details below, then click 'Add coupon' to publish it on your Store.";"Enter your coupon's details below, then click 'Add coupon' to publish it on your Showroom."
"coupon Title";"coupon Title"
"Never. This coupon does not have an end date.";"Never. This coupon does not have an end date."
"This coupon ends on a specific date. (Select the date by clicking on the calendar icon below.)";"This coupon ends on a specific date. (Select the date by clicking on the calendar icon below.)"
"Add coupon";"Add coupon"
"End coupon on a specific date.";"End coupon on a specific date."
"Select a date by clicking on the calendar icon below.";"Select a date by clicking on the calendar icon below."
"View More";"View More"
"Edit Coupon";"Edit Coupon"
"Edit your coupon's details below, then click 'Save Changes' to publish it on your Store.";"Edit your coupon's details below, then click 'Save Changes' to publish it on your Showroom."
"Store Profile coupons";"Showroom Profile coupons"
"This widget forms the coupons tab on the Store Profile and displays the coupons of the Store. It should be placed in the Tabbed Blocks area of the Store Profile.";"This widget forms the coupons tab on the Showroom Profile and displays the coupons of the Showroom. It should be placed in the Tabbed Blocks area of the Showroom Profile."
"Latest Store coupons";"Latest Showroom coupons"
"Displays list of latest store coupons on the site.";"Displays list of latest Showroom coupons on the site."
"Hot Store coupons";"Hot Showroom coupons"
"Displays list of hot store coupons on the site.";"Displays list of hot Showroom coupons on the site."
"Count";"Count"
"Displays the list of coupons from Stores created on your community. This widget should be placed in the widgetized Store coupons store. Results from the Search Store coupons form are also shown here.";"Displays the list of coupons from Showrooms created on your community. This widget should be placed in the widgetized Showroom coupons Showroom. Results from the Search Showroom coupons form are also shown here."
"number of coupons to show";"number of coupons to show"
"Available coupon";"Available coupon"
"Displays the Store coupons based on their ending dates, in 3 tabs: ‘This Week’, ‘This Month’ and ‘Overall’. Users can see more coupons right within that widget. You can choose the number of entries to be shown.";"Displays the Showroom coupons based on their ending dates, in 3 tabs: ‘This Week’, ‘This Month’ and ‘Overall’. Users can see more coupons right within that widget. You can choose the number of entries to be shown."
"Search Store coupons form";"Search Showroom coupons form"
"Displays the form for searching Store coupons on the basis of various filters. You can edit the fields to be available in this form.";"Displays the form for searching Showroom coupons on the basis of various filters. You can edit the fields to be available in this form."
"Choose the fields that you want to be available in the Search Store coupons form widget.";"Choose the fields that you want to be available in the Search Showroom coupons form widget."
"Sponsored coupons";"Sponsored coupons"
"Displays the coupons from Paid Stores. You can choose the number of entries to be shown.";"Displays the coupons from Paid Showrooms. You can choose the number of entries to be shown."
"Store coupons List";"Showroom coupons List"
"This is the store coupons.";"This is the Showroom coupons."
"Ending this week";"Ending this week"
"Ending this month";"Ending this month"
"This Week";"This Week"
"This Month";"This Month"
"Overall";"Overall"
"claim left";"claim left"
"claims left";"claims left"
"Unlimited claims";"Unlimited claims"
"claimed";"claimed"
"Forms the coupons tab of your Store and shows coupons and deals of your Store. It should be placed in the Tabbed Blocks area of the Store Profile.";"Forms the coupons tab of your Showroom and shows coupons and deals of your Showroom. It should be placed in the Tabbed Blocks area of the Showroom Profile."
"Store coupons";"Showroom coupons"
"Directory/Stores - coupons";"Directory/Showrooms - coupons"
"{item:$subject} added a new coupon in the store {item:$object}:";"{item:$subject} added a new coupon in the Showroom {item:$object}:"
"claimed {item:$object:an coupon} from";"claimed {item:$object:an coupon} from"
"Featured coupon";"Featured coupon"
"Are you sure you want to make this coupon as featured? Only one coupon can be made featured, and this coupon will then be shown alongside your Store\'s entry in the listing of all Stores of this community. It will also be shown on top of all your coupons on your Store profile.";"Are you sure you want to make this coupon as featured? Only one coupon can be made featured, and this coupon will then be shown alongside your Showroom\'s entry in the listing of all Showrooms of this community. It will also be shown on top of all your coupons on your Showroom profile."
"You can add attractive coupons for your store and Store by clicking on the ""Add an coupon"" link. These coupons will appear on your Store profile. You can also select a featured coupon for your Store below, which will be shown alongside your Store's entry in the listing of all Stores of this community, and will also be shown on top of all your coupons.";"You can add attractive coupons for your Showroom and Showroom by clicking on the ""Add an coupon"" link. These coupons will appear on your Showroom profile. You can also select a featured coupon for your Showroom below, which will be shown alongside your Showroom's entry in the listing of all Showrooms of this community, and will also be shown on top of all your coupons."
"Add an coupon";"Add an coupon"
"coupons";"coupons"
"Delete Coupon";"Delete Coupon"
"Remove as Featured";"Remove as Featured"
"This coupon has been expired.";"This coupon has been expired."
"No coupons have been added in this Store yet.";"No coupons have been added in this Showroom yet."
"Click %1$shere%2$s to create the first coupon of this store.";"Click %1$shere%2$s to create the first coupon of this Showroom."
"Are you sure that you want to delete this coupon? It will not be recoverable after being deleted.";"Are you sure that you want to delete this coupon? It will not be recoverable after being deleted."
"Next";"Next"
"Are you sure you want to make this coupon as featured? Only one coupon can be made featured, and this coupon will then be shown alongside your Store's entry in the listing of all Stores of this community. It will also be shown on top of all your coupons on your Store profile.";"Are you sure you want to make this coupon as featured? Only one coupon can be made featured, and this coupon will then be shown alongside your Showroom's entry in the listing of all Showrooms of this community. It will also be shown on top of all your coupons on your Showroom profile."
"Latest coupons";"Latest coupons"
"Most Viewed coupons";"Most Viewed coupons"
"Most Commented coupons";"Most Commented coupons"
"Most Liked coupons";"Most Liked coupons"
"Most Popular coupons";"Most Popular coupons"
"Expired coupons";"Expired coupons"
"* Please enter a title.";"* Please enter a title."
"* Please enter a claims count.";"* Please enter a claims count."
"* Please enter description.";"* Please enter description."
"Uploading image...";"Uploading image..."
"_EMAIL_OFFER_CLAIM_TITLE";"Coupon Claim"
"_EMAIL_OFFER_CLAIM_DESCRIPTION";"This is the email that gets sent to Showroom admins as coupon claim from the site."
"_EMAIL_OFFER_CLAIM_SUBJECT";"[subject]"
"_EMAIL_OFFER_CLAIM_BODY";"[header]

[message]

[footer]"
"Displays list of coupons of Paid Stores on the site. This widget should be placed on Stores coupon.";"Displays list of coupons of Paid Showrooms on the site. This widget should be placed on Showrooms coupon."
"Default ordering on Store coupon";"Default ordering on Showroom coupon"
"Select the default ordering for coupons to be listed on Store coupon.";"Select the default ordering for coupons to be listed on Showroom coupon."
"Store coupons per store";"Showroom coupons per Showroom"
"How many store coupons will be shown per store on Stores coupon";"How many Showroom coupons will be shown per Showroom on Showrooms coupon"
"No coupons have been created in this Store yet.";"No coupons have been created in this Showroom yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"claimed this.";"claimed this."
"claims left.";"claims left."
"Get coupon";"Get coupon"
"Resend coupon";"Resend coupon"
"View coupon";"View coupon"
"coupon of the Day";"coupon of the Day"
"Hot coupons";"Hot coupons"
"Upcoming";"Upcoming"
"Most Liked";"Most Liked"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"";""
"ITEM_TYPE_SITESTOREOFFER_OFFER";"Showroom coupons"
"ADMIN_ACTIVITY_TYPE_SITESTOREOFFER_ADMIN_NEW";"When Showroom admin creates a new Showroom coupon"
"ADMIN_ACTIVITY_TYPE_SITESTOREOFFER_HOME";"When someone claims a Showroom coupon."
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_NEW";"New Showroom coupon creates by member"
"ADMIN_ACTIVITY_TYPE_SITESTOREOFFER_NEW";"When someone creates a new Showroom coupon."
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_ADMIN_NEW";"New Showroom coupon created by Showroom admin"
"{item:$object} added a new coupon:";"{item:$object} added a new coupon:"
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_HOME";"When a user claims an coupon."
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_TITLE";"Showroom coupon Email Notification"
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and Showroom admin of the Showroom when member create a Showroom coupon in Showroom."
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_SUBJECT";"[[store_title]] New coupon: [item_title]"
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]"
"Store coupon Information";"Showroom coupon Information"
"{item:$subject} has created a store coupon {var:$eventname}.";"{item:$subject} has created a Showroom coupon {var:$eventname}."
"ACTIVITY_TYPE_SITESTOREOFFER_CREATE";"When a user create an coupon."
"You can add attractive coupons for your store and Page by clicking on the ""Add an coupon"" link. These coupons will appear on your Page profile. You can also select a featured coupon for your Page below, which will be shown alongside your Page's entry in the listing of all Pages of this community, and will also be shown on top of all your coupons.";"You can add attractive coupons for your Showroom and Page by clicking on the ""Add an coupon"" link. These coupons will appear on your Page profile. You can also select a featured coupon for your Page below, which will be shown alongside your Page's entry in the listing of all Pages of this community, and will also be shown on top of all your coupons."
"Delete Store coupon ?";"Delete Showroom coupon ?"
"Please enter coupon code for your coupon here. ";"Please enter coupon code for your coupon here."
"The total amount that must reached before the coupon is valid. (Enter 0 or Leave Empty in case you want coupon to be applied on all amounts.)";"The total amount that must reached before the coupon is valid. (Enter 0 or Leave Empty in case you want coupon to be applied on all amounts.)"
"Enter the minimum quantity of the products that must be available in the cart for coupon to be applied. (Enter 0 or Leave Empty in case you want coupon to be applied on any quantity of products.)";"Enter the minimum quantity of the products that must be available in the cart for coupon to be applied. (Enter 0 or Leave Empty in case you want coupon to be applied on any quantity of products.)"
"When will this coupon start?";"When will this coupon start?"
"Uses Per Coupon";"Uses Per Coupon"
"Enter the maximum number of times this coupon can be used by members. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this filed once this coupon expires.)";"Enter the maximum number of times this coupon can be used by members. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this filed once this coupon expires.)"
"Enter the maximum number of times the coupon can be used by a single user. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this field once this coupon expires.)";"Enter the maximum number of times the coupon can be used by a single user. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this field once this coupon expires.)"
"Enable this Coupon";"Enable this Coupon"
"Enable Coupon ";"Enable Coupon "
"Disable Coupon ";"Disable Coupon "
"Please enter a different coupon code as %s is either invalid or expired";"Please enter a different coupon code as %s is either invalid or expired"
"Add Coupon";"Add Coupon"
"%1$s coupon left";"%1$s coupon left";"%1$s coupons left"
"Coupon Title";"Coupon Title"
"Please enter your coupon URL here.";"Please enter your coupon URL here."
"Discount Type";"Discount Type"
"Fixed";"Fixed"
"Percentage";"Percentage"
"Discount Rate (%)";"Discount Rate (%)"
"Discount (%s)";"Discount (%s)"
"Minimum Purchase Amount (%s)";"Minimum Purchase Amount (%s)"
"Minimum Product Quantity";"Minimum Product Quantity"
"Select Products";"Select Products"
"Enter the name of products in the auto-suggest box below.";"Enter the name of products in the auto-suggest box below."
"Start Date";"Start Date"
"End Date";"End Date"
"Uses Per Buyer";"Uses Per Buyer"
"Want to make it as Public";"Want to make it as Public"
"Preview";"Preview"
"cancel";"cancel"
"ACTIVITY_CATEGORY_TYPE_SITESTOREOFFER";"Showrooms / Ecommerce"
